name,duit
Gemini,2100
Wolpi,1500
angelina,100
Otak petrik star,0
Minty ice Deer :v,0
Fat pony/tomato(dnc) ,100
Fat t pany/romatone) (©) ,100
Fat pony/tomato(dnc) 7 (*%),100
Fat pony/tomato(dnc) ©) (©) ,0
melon Wangy,0
Jeepers the clown!!,0
Mars. C,100
experiment boi,1000
(spec) GEMINI,1100
(sub) GEMINI,500
,100
axel,100
ie - MEN U DATE,100
